新关卡地图草稿 — 600列 × 13行
字符对照: .=空气 1=草地 2=泥土 3=水面 4=水体 5=冰砖 6=碎石砖
          7/8/9=尖刺 C=蛋糕 K=木箱 E=普通敌 F=火敌 I=冰敌 G=叶敌 L=电敌
          P=存档点 T=终点旗

分区: A新手(0-80) B水道(81-170) C攀升(171-260) D尖刺(261-350) E冰封(351-440) F混合(441-530) G终章(531-600)

行0:  .........C.......................................................................................C......................................................................................................................................................................................................................................................
行1:  ...............................................................................................................................................................................................C..........................................................................................................................................................................................
行2:  ..................................................................................................................................................................................................................................................................................................................................................................................
行3:  ..........................................................................................................C...........C................................................................................................................................C...............C................................................................................
行4:  ..........................................................................................................1111.......1111..............................................................................................................................1111...........1111..............................................................................
行5:  ...........................................................................................................2222.......2222.............................C................................................................................2222...........2222.......C......................................................................
行6:  ............................1111..................................................1111........1111.......1111.......2222...........1111..........................1111...1111.............................................................1111...........1111.......1111................1111.......1111....1111........................
行7:  ............................2222..................1111............................2222........2222.......1111.......2222...........2222........1111...............2222...2222...................................................C.........2222...........1111.......2222.......1111......2222.......2222....2222........................
行8:  ............................1111..................2222..........1111........1111...........1111.......1111...................1111........2222.......1111........1111.........1111....1111....1111........C..................1111........1111...........1111...................2222......1111.......1111.......................
行9:  ...............C............1111..................1111..........2222..C.....2222..C........2222.......1111.......1111......1111........1111.......2222.......2222..C................................2222........2222..1111........1111........1111.......1111.......1111......1111...................C...................
行10: ..1111.........11....C.......1111...........1..11.111E111.1111.....1111.111111.11....C..1111...1..1111.......2222.1..11.2222...1.11.1111..1..1111.1.111111111.11.1111111...11..C..1.11.1111....1..1111...1..1111...........C...........1111C1111..1111...1..1111.....1111.1.1111..C..11.11111666611.11666C...1111...11..11111111
行11: 11111P1.1111111...111.11111.1111111113111..1111.......11311.1114111111.......11111111...1..111111..1111.1111...1111.1..1111.111111111111111111.11111111111111111.11111111111111...1111111111111.11111111.11..1111111111111111111111111.1111111.11111151111111.1.11111111.11111111.111111.111111111.....111111
行12: 2222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
